DATE,PAYEMS_CHG
1951-07-01,-3
1951-08-01,-49
1951-09-01,-58
1951-10-01,52
1951-11-01,141
1951-12-01,167
1952-01-01,-18
1952-02-01,226
1952-03-01,-18
1952-04-01,116
1952-05-01,22
1952-06-01,-360
1952-07-01,-139
1952-08-01,781
1952-09-01,396
1952-10-01,277
1952-11-01,219
1952-12-01,350
1953-01-01,-22
1953-02-01,195
1953-03-01,134
1953-04-01,-38
1953-05-01,55
1953-06-01,29
1953-07-01,17
1953-08-01,-47
1953-09-01,-121
1953-10-01,-128
1953-11-01,-332
1953-12-01,-205
1954-01-01,-234
1954-02-01,-87
1954-03-01,-225
1954-04-01,22
1954-05-01,-214
1954-06-01,-70
1954-07-01,-60
1954-08-01,-9
1954-09-01,60
1954-10-01,56
1954-11-01,238
1954-12-01,151
1955-01-01,165
1955-02-01,148
1955-03-01,318
1955-04-01,286
1955-05-01,264
1955-06-01,278
1955-07-01,197
1955-08-01,124
1955-09-01,155
1955-10-01,163
1955-11-01,163
1955-12-01,213
1956-01-01,170
1956-02-01,192
1956-03-01,127
1956-04-01,81
1956-05-01,131
1956-06-01,80
1956-07-01,-631
1956-08-01,676
1956-09-01,-27
1956-10-01,173
1956-11-01,44
1956-12-01,108
1957-01-01,-42
1957-02-01,210
1957-03-01,59
1957-04-01,82
1957-05-01,-88
1957-06-01,-83
1957-07-01,56
1957-08-01,5
1957-09-01,-194
1957-10-01,-171
1957-11-01,-205
1957-12-01,-174
1958-01-01,-308
1958-02-01,-500
1958-03-01,-277
1958-04-01,-272
1958-05-01,-113
1958-06-01,0
1958-07-01,125
1958-08-01,194
1958-09-01,273
1958-10-01,-21
1958-11-01,459
1958-12-01,141
1959-01-01,393
1959-02-01,210
1959-03-01,326
1959-04-01,307
1959-05-01,229
1959-06-01,131
1959-07-01,123
1959-08-01,-468
1959-09-01,92
1959-10-01,-70
1959-11-01,276
1959-12-01,540
1960-01-01,100
1960-02-01,239
1960-03-01,-59
1960-04-01,359
1960-05-01,-338
1960-06-01,-127
1960-07-01,-42
1960-08-01,-34
1960-09-01,-45
1960-10-01,-85
1960-11-01,-181
1960-12-01,-219
1961-01-01,-59
1961-02-01,-126
1961-03-01,102
1961-04-01,-32
1961-05-01,159
1961-06-01,191
1961-07-01,146
1961-08-01,175
1961-09-01,90
1961-10-01,134
1961-11-01,220
1961-12-01,130
1962-01-01,19
1962-02-01,297
1962-03-01,87
1962-04-01,327
1962-05-01,26
1962-06-01,16
1962-07-01,102
1962-08-01,92
1962-09-01,140
1962-10-01,63
1962-11-01,15
1962-12-01,-28
1963-01-01,87
1963-02-01,115
1963-03-01,90
1963-04-01,260
1963-05-01,36
1963-06-01,43
1963-07-01,135
1963-08-01,116
1963-09-01,168
1963-10-01,205
1963-11-01,-28
1963-12-01,106
1964-01-01,126
1964-02-01,266
1964-03-01,144
1964-04-01,25
1964-05-01,167
1964-06-01,130
1964-07-01,193
1964-08-01,207
1964-09-01,284
1964-10-01,-110
1964-11-01,425
1964-12-01,203
1965-01-01,161
1965-02-01,218
1965-03-01,203
1965-04-01,256
1965-05-01,232
1965-06-01,199
1965-07-01,275
1965-08-01,263
1965-09-01,262
1965-10-01,229
1965-11-01,277
1965-12-01,326
1966-01-01,207
1966-02-01,267
1966-03-01,396
1966-04-01,245
1966-05-01,275
1966-06-01,399
1966-07-01,190
1966-08-01,206
1966-09-01,136
1966-10-01,211
1966-11-01,165
1966-12-01,180
1967-01-01,208
1967-02-01,22
1967-03-01,101
1967-04-01,-64
1967-05-01,154
1967-06-01,130
1967-07-01,138
1967-08-01,255
1967-09-01,21
1967-10-01,61
1967-11-01,478
1967-12-01,197
1968-01-01,-96
1968-02-01,411
1968-03-01,80
1968-04-01,261
1968-05-01,96
1968-06-01,253
1968-07-01,221
1968-08-01,204
1968-09-01,154
1968-10-01,237
1968-11-01,263
1968-12-01,264
1969-01-01,191
1969-02-01,260
1969-03-01,206
1969-04-01,167
1969-05-01,256
1969-06-01,308
1969-07-01,93
1969-08-01,279
1969-09-01,-94
1969-10-01,207
1969-11-01,-35
1969-12-01,155
1970-01-01,-65
1970-02-01,129
1970-03-01,146
1970-04-01,-103
1970-05-01,-224
1970-06-01,-95
1970-07-01,24
1970-08-01,-116
1970-09-01,7
1970-10-01,-423
1970-11-01,-112
1970-12-01,383
1971-01-01,73
1971-02-01,-58
1971-03-01,53
1971-04-01,176
1971-05-01,211
1971-06-01,7
1971-07-01,61
1971-08-01,58
1971-09-01,241
1971-10-01,28
1971-11-01,205
1971-12-01,262
1972-01-01,332
1972-02-01,207
1972-03-01,296
1972-04-01,218
1972-05-01,307
1972-06-01,289
1972-07-01,-49
1972-08-01,432
1972-09-01,123
1972-10-01,410
1972-11-01,299
1972-12-01,295
1973-01-01,349
1973-02-01,397
1973-03-01,270
1973-04-01,171
1973-05-01,193
1973-06-01,239
1973-07-01,26
1973-08-01,255
1973-09-01,108
1973-10-01,331
1973-11-01,313
1973-12-01,111
1974-01-01,69
1974-02-01,154
1974-03-01,42
1974-04-01,86
1974-05-01,167
1974-06-01,55
1974-07-01,32
1974-08-01,-17
1974-09-01,-9
1974-10-01,20
1974-11-01,-365
1974-12-01,-613
1975-01-01,-359
1975-02-01,-375
1975-03-01,-270
1975-04-01,-188
1975-05-01,164
1975-06-01,-103
1975-07-01,249
1975-08-01,383
1975-09-01,75
1975-10-01,312
1975-11-01,145
1975-12-01,332
1976-01-01,486
1976-02-01,313
1976-03-01,232
1976-04-01,244
1976-05-01,20
1976-06-01,64
1976-07-01,171
1976-08-01,157
1976-09-01,188
1976-10-01,19
1976-11-01,329
1976-12-01,208
1977-01-01,242
1977-02-01,298
1977-03-01,403
1977-04-01,337
1977-05-01,360
1977-06-01,400
1977-07-01,346
1977-08-01,241
1977-09-01,457
1977-10-01,268
1977-11-01,373
1977-12-01,237
1978-01-01,184
1978-02-01,354
1978-03-01,512
1978-04-01,702
1978-05-01,347
1978-06-01,441
1978-07-01,254
1978-08-01,279
1978-09-01,138
1978-10-01,335
1978-11-01,435
1978-12-01,280
1979-01-01,137
1979-02-01,247
1979-03-01,424
1979-04-01,-62
1979-05-01,372
1979-06-01,319
1979-07-01,109
1979-08-01,83
1979-09-01,27
1979-10-01,154
1979-11-01,92
1979-12-01,99
1980-01-01,128
1980-02-01,83
1980-03-01,111
1980-04-01,-145
1980-05-01,-429
1980-06-01,-319
1980-07-01,-261
1980-08-01,259
1980-09-01,114
1980-10-01,277
1980-11-01,257
1980-12-01,196
1981-01-01,90
1981-02-01,72
1981-03-01,105
1981-04-01,73
1981-05-01,13
1981-06-01,194
1981-07-01,111
1981-08-01,-36
1981-09-01,-88
1981-10-01,-97
1981-11-01,-209
1981-12-01,-276
1982-01-01,-330
1982-02-01,-2
1982-03-01,-129
1982-04-01,-284
1982-05-01,-43
1982-06-01,-242
1982-07-01,-344
1982-08-01,-158
1982-09-01,-180
1982-10-01,-276
1982-11-01,-121
1982-12-01,-15
1983-01-01,219
1983-02-01,-73
1983-03-01,173
1983-04-01,274
1983-05-01,280
1983-06-01,377
1983-07-01,416
1983-08-01,-308
1983-09-01,1118
1983-10-01,273
1983-11-01,355
1983-12-01,355
1984-01-01,443
1984-02-01,484
1984-03-01,272
1984-04-01,363
1984-05-01,306
1984-06-01,381
1984-07-01,310
1984-08-01,243
1984-09-01,312
1984-10-01,285
1984-11-01,353
1984-12-01,125
1985-01-01,265
1985-02-01,131
1985-03-01,339
1985-04-01,196
1985-05-01,274
1985-06-01,147
1985-07-01,189
1985-08-01,192
1985-09-01,205
1985-10-01,188
1985-11-01,210
1985-12-01,166
1986-01-01,123
1986-02-01,115
1986-03-01,87
1986-04-01,187
1986-05-01,127
1986-06-01,-93
1986-07-01,318
1986-08-01,115
1986-09-01,346
1986-10-01,187
1986-11-01,187
1986-12-01,201
1987-01-01,169
1987-02-01,241
1987-03-01,245
1987-04-01,335
1987-05-01,229
1987-06-01,172
1987-07-01,347
1987-08-01,173
1987-09-01,227
1987-10-01,491
1987-11-01,234
1987-12-01,289
1988-01-01,92
1988-02-01,461
1988-03-01,275
1988-04-01,243
1988-05-01,230
1988-06-01,364
1988-07-01,224
1988-08-01,124
1988-09-01,339
1988-10-01,263
1988-11-01,341
1988-12-01,281
1989-01-01,263
1989-02-01,266
1989-03-01,194
1989-04-01,170
1989-05-01,122
1989-06-01,114
1989-07-01,42
1989-08-01,51
1989-09-01,249
1989-10-01,107
1989-11-01,276
1989-12-01,84
1990-01-01,363
1990-02-01,236
1990-03-01,209
1990-04-01,42
1990-05-01,153
1990-06-01,17
1990-07-01,-32
1990-08-01,-208
1990-09-01,-98
1990-10-01,-151
1990-11-01,-153
1990-12-01,-48
1991-01-01,-111
1991-02-01,-321
1991-03-01,-160
1991-04-01,-210
1991-05-01,-115
1991-06-01,85
1991-07-01,-42
1991-08-01,18
1991-09-01,26
1991-10-01,21
1991-11-01,-61
1991-12-01,32
1992-01-01,41
1992-02-01,-58
1992-03-01,54
1992-04-01,154
1992-05-01,130
1992-06-01,66
1992-07-01,78
1992-08-01,132
1992-09-01,34
1992-10-01,180
1992-11-01,133
1992-12-01,223
1993-01-01,299
1993-02-01,250
1993-03-01,-50
1993-04-01,302
1993-05-01,272
1993-06-01,181
1993-07-01,306
1993-08-01,151
1993-09-01,242
1993-10-01,285
1993-11-01,251
1993-12-01,330
1994-01-01,281
1994-02-01,186
1994-03-01,461
1994-04-01,344
1994-05-01,335
1994-06-01,317
1994-07-01,372
1994-08-01,286
1994-09-01,351
1994-10-01,211
1994-11-01,411
1994-12-01,296
1995-01-01,336
1995-02-01,196
1995-03-01,210
1995-04-01,162
1995-05-01,-20
1995-06-01,237
1995-07-01,94
1995-08-01,254
1995-09-01,241
1995-10-01,156
1995-11-01,144
1995-12-01,145
1996-01-01,-4
1996-02-01,423
1996-03-01,254
1996-04-01,165
1996-05-01,328
1996-06-01,283
1996-07-01,246
1996-08-01,184
1996-09-01,211
1996-10-01,255
1996-11-01,296
1996-12-01,182
1997-01-01,220
1997-02-01,312
1997-03-01,315
1997-04-01,296
1997-05-01,260
1997-06-01,268
1997-07-01,297
1997-08-01,-18
1997-09-01,492
1997-10-01,344
1997-11-01,306
1997-12-01,314
1998-01-01,263
1998-02-01,204
1998-03-01,148
1998-04-01,278
1998-05-01,402
1998-06-01,232
1998-07-01,129
1998-08-01,339
1998-09-01,208
1998-10-01,202
1998-11-01,277
1998-12-01,365
1999-01-01,106
1999-02-01,418
1999-03-01,107
1999-04-01,370
1999-05-01,211
1999-06-01,281
1999-07-01,325
1999-08-01,155
1999-09-01,203
1999-10-01,405
1999-11-01,289
1999-12-01,306
2000-01-01,233
2000-02-01,119
2000-03-01,472
2000-04-01,292
2000-05-01,217
2000-06-01,-44
2000-07-01,175
2000-08-01,-6
2000-09-01,123
2000-10-01,-2
2000-11-01,205
2000-12-01,153
2001-01-01,-11
2001-02-01,91
2001-03-01,-42
2001-04-01,-284
2001-05-01,-53
2001-06-01,-111
2001-07-01,-122
2001-08-01,-149
2001-09-01,-257
2001-10-01,-317
2001-11-01,-312
2001-12-01,-160
2002-01-01,-130
2002-02-01,-116
2002-03-01,-19
2002-04-01,-94
2002-05-01,11
2002-06-01,50
2002-07-01,-94
2002-08-01,-3
2002-09-01,-86
2002-10-01,127
2002-11-01,-13
2002-12-01,-143
2003-01-01,108
2003-02-01,-136
2003-03-01,-212
2003-04-01,-55
2003-05-01,19
2003-06-01,-2
2003-07-01,-3
2003-08-01,-42
2003-09-01,105
2003-10-01,200
2003-11-01,20
2003-12-01,114
2004-01-01,181
2004-02-01,56
2004-03-01,317
2004-04-01,269
2004-05-01,283
2004-06-01,99
2004-07-01,55
2004-08-01,89
2004-09-01,156
2004-10-01,354
2004-11-01,56
2004-12-01,121
2005-01-01,150
2005-02-01,258
2005-03-01,124
2005-04-01,362
2005-05-01,172
2005-06-01,252
2005-07-01,354
2005-08-01,202
2005-09-01,68
2005-10-01,89
2005-11-01,338
2005-12-01,156
2006-01-01,280
2006-02-01,308
2006-03-01,310
2006-04-01,158
2006-05-01,39
2006-06-01,81
2006-07-01,195
2006-08-01,174
2006-09-01,149
2006-10-01,9
2006-11-01,211
2006-12-01,186
2007-01-01,228
2007-02-01,81
2007-03-01,235
2007-04-01,49
2007-05-01,151
2007-06-01,76
2007-07-01,-31
2007-08-01,-23
2007-09-01,80
2007-10-01,79
2007-11-01,110
2007-12-01,108
2008-01-01,11
2008-02-01,-79
2008-03-01,-49
2008-04-01,-240
2008-05-01,-177
2008-06-01,-171
2008-07-01,-196
2008-08-01,-278
2008-09-01,-460
2008-10-01,-481
2008-11-01,-727
2008-12-01,-706
2009-01-01,-784
2009-02-01,-743
2009-03-01,-800
2009-04-01,-695
2009-05-01,-342
2009-06-01,-467
2009-07-01,-340
2009-08-01,-183
2009-09-01,-241
2009-10-01,-199
2009-11-01,12
2009-12-01,-269
2010-01-01,2
2010-02-01,-92
2010-03-01,181
2010-04-01,231
2010-05-01,540
2010-06-01,-139
2010-07-01,-84
2010-08-01,-5
2010-09-01,-65
2010-10-01,268
2010-11-01,125
2010-12-01,72
2011-01-01,19
2011-02-01,212
2011-03-01,235
2011-04-01,314
2011-05-01,101
2011-06-01,236
2011-07-01,60
2011-08-01,126
2011-09-01,233
2011-10-01,204
2011-11-01,132
2011-12-01,202
2012-01-01,354
2012-02-01,262
2012-03-01,240
2012-04-01,82
2012-05-01,100
2012-06-01,73
2012-07-01,152
2012-08-01,172
2012-09-01,187
2012-10-01,159
2012-11-01,156
2012-12-01,239
2013-01-01,191
2013-02-01,278
2013-03-01,139
2013-04-01,191
2013-05-01,222
2013-06-01,181
2013-07-01,112
2013-08-01,242
2013-09-01,187
2013-10-01,225
2013-11-01,264
2013-12-01,69
2014-01-01,175
2014-02-01,166
2014-03-01,254
2014-04-01,325
2014-05-01,218
2014-06-01,326
2014-07-01,232
2014-08-01,188
2014-09-01,309
2014-10-01,252
2014-11-01,291
2014-12-01,268
2015-01-01,191
2015-02-01,271
2015-03-01,71
2015-04-01,284
2015-05-01,331
2015-06-01,174
2015-07-01,302
2015-08-01,125
2015-09-01,155
2015-10-01,306
2015-11-01,237
2015-12-01,273
2016-01-01,73
2016-02-01,263
2016-03-01,229
2016-04-01,187
2016-05-01,42
2016-06-01,267
2016-07-01,354
2016-08-01,135
2016-09-01,269
2016-10-01,145
2016-11-01,151
2016-12-01,230
2017-01-01,185
2017-02-01,188
2017-03-01,129
2017-04-01,197
2017-05-01,155
2017-06-01,216
2017-07-01,215
2017-08-01,184
2017-09-01,18
2017-10-01,267
2017-11-01,225
2017-12-01,130
2018-01-01,121
2018-02-01,406
2018-03-01,176
2018-04-01,137
2018-05-01,278
2018-06-01,219
2018-07-01,136
2018-08-01,244
2018-09-01,80
2018-10-01,201
2018-11-01,134
2018-12-01,182
2019-01-01,269
2019-02-01,1
2019-03-01,147
2019-04-01,210
2019-05-01,85
2019-06-01,182
2019-07-01,194
2019-08-01,207
2019-09-01,208
2019-10-01,185
2019-11-01,261
2019-12-01,184
2020-01-01,273
2020-02-01,273
